Country,League,Season,round,Date,Time,Home,Away,HG,AG,HxG,AxG,HExpG+,AExpG+,Res,PSCH,PSCD,PSCA
Mexico,Liga MX,2023/2024,17,2023/11/11,23:00,Atletico San Luis,Santos Laguna,0,2,1.3,1,0.715,1.45,A,2.34,4.09,2.8
Mexico,Liga MX,2023/2024,17,2023/11/11,23:00,Queretaro,Monterrey,0,0,1.6,0.8,0.88,0.44,D,2.76,3.5,2.63
Mexico,Liga MX,2023/2024,17,2023/11/11,01:06,Mazatlan,Toluca,1,0,0.9,0.5,0.945,0.275,H,3.19,4.16,2.11
Mexico,Liga MX,2023/2024,17,2023/11/11,01:00,Atlas,Necaxa,0,0,0.5,0.5,0.275,0.275,D,1.87,3.78,4.33
Mexico,Liga MX,2023/2024,17,2023/11/11,03:10,Tijuana,Pachuca,2,3,3,1.1,2.55,1.955,A,2.24,3.56,3.33
Mexico,Liga MX,2023/2024,17,2023/11/12,03:10,Tigres UANL,Club America,0,0,0.7,1,0.385,0.55,D,2.64,3.68,2.65
Mexico,Liga MX,2023/2024,17,2023/11/12,01:00,UNAM Pumas,Guadalajara,1,0,1.1,1,1.055,0.55,H,1.92,3.89,3.97
Mexico,Liga MX,2023/2024,17,2023/11/13,02:05,Leon,FC Juarez,2,1,2,0.3,2,0.615,H,1.4,5.2,7.56
Mexico,Liga MX,2023/2024,17,2023/11/13,00:00,Cruz Azul,Puebla,1,2,2.2,1.3,1.66,1.615,A,1.83,4.26,4.05
Mexico,Liga MX,2023/2024,,2023/11/24,03:10,Santos Laguna,Mazatlan,2,1,2,1,2,1,H,1.65,4.4,5.12
Mexico,Liga MX,2023/2024,,2023/11/24,01:00,Atletico San Luis,Leon,3,2,0.6,1,1.68,1.45,H,2.88,3.5,2.54
Mexico,Liga MX,2023/2024,,2023/11/27,02:06,Leon,Santos Laguna,3,2,1.6,1.9,2.23,1.945,H,1.76,4.39,4.29
Mexico,Liga MX,2023/2024,,2023/11/30,03:10,Atletico San Luis,Monterrey,1,0,1.1,0.6,1.055,0.33,H,3.72,3.44,2.13
Mexico,Liga MX,2023/2024,,2023/11/30,01:06,Leon,Club America,2,2,1.3,2.2,1.615,2.11,D,3.35,3.59,2.21
Mexico,Liga MX,2023/2024,,2023/12/01,01:00,Puebla,Tigres UANL,2,2,1.7,1.8,1.835,1.89,D,,,
Mexico,Liga MX,2023/2024,,2023/12/01,03:05,Guadalajara,UNAM Pumas,1,0,1.2,0.4,1.11,0.22,H,,,
Mexico,Liga MX,2023/2024,,2023/12/03,01:00,Club America,Leon,2,0,2.3,0.3,2.165,0.165,H,1.55,4.51,5.8
Mexico,Liga MX,2023/2024,,2023/12/03,03:10,Monterrey,Atletico San Luis,1,1,2,0.7,1.55,0.835,D,1.52,4.61,6.44
Mexico,Liga MX,2023/2024,,2023/12/04,00:00,UNAM Pumas,Guadalajara,3,0,1,0.2,1.9,0.11,H,1.98,3.6,4.07
Mexico,Liga MX,2023/2024,,2023/12/04,02:10,Tigres UANL,Puebla,3,0,1.9,0.5,2.395,0.275,H,1.36,5.55,8.65
Mexico,Liga MX,2023/2024,,2023/12/07,03:00,Atletico San Luis,Club America,0,5,1,2.7,0.55,3.735,A,4.59,3.94,1.79
Mexico,Liga MX,2023/2024,,2023/12/08,03:00,UNAM Pumas,Tigres UANL,0,1,0.5,0.6,0.275,0.78,A,2.7,2.99,3.1
Mexico,Liga MX,2023/2024,,2023/12/10,02:00,Club America,Atletico San Luis,0,2,0.2,2,0.11,2,A,1.45,5.07,6.99
Mexico,Liga MX,2023/2024,,2023/12/11,02:00,Tigres UANL,UNAM Pumas,1,1,0.6,1.6,0.78,1.33,D,1.81,3.79,4.69
Mexico,Liga MX,2023/2024,,2023/12/15,03:00,Tigres UANL,Club America,1,1,0.6,1.7,0.78,1.385,D,2.87,3.02,2.87
Mexico,Liga MX,2023/2024,,2023/12/18,01:30,Club America,Tigres UANL,0,0,2.1,0.7,1.155,0.385,D,1.7,3.64,5.99
Mexico,Liga MX,2023/2024,1,2024/01/13,01:00,Queretaro,Toluca,2,2,0.7,1.1,1.285,1.505,D,3.44,3.39,2.26
Mexico,Liga MX,2023/2024,1,2024/01/13,03:00,Mazatlan,Atletico San Luis,0,1,2.8,0.6,1.54,0.78,A,2.86,3.29,2.67
Mexico,Liga MX,2023/2024,1,2024/01/14,03:00,Monterrey,Puebla,2,0,2.2,0.8,2.11,0.44,H,1.38,5.4,8.34
Mexico,Liga MX,2023/2024,1,2024/01/14,01:00,Cruz Azul,Pachuca,0,1,1.4,1.4,0.77,1.22,A,1.99,3.82,3.79
Mexico,Liga MX,2023/2024,1,2024/01/14,03:00,Tijuana,Club America,0,2,2.2,0.4,1.21,1.12,A,2.46,3.3,3.14
Mexico,Liga MX,2023/2024,1,2024/01/14,18:00,UNAM Pumas,FC Juarez,1,0,1.3,0.6,1.165,0.33,H,1.61,4.33,5.63
Mexico,Liga MX,2023/2024,1,2024/01/14,01:05,Guadalajara,Santos Laguna,1,1,2,1.2,1.55,1.11,D,2.05,3.56,3.85
